test#,time
0,0.184059
1,0.088215
2,0.080824
3,0.072241
4,0.067234
5,0.06175
6,0.066757
7,0.066996
8,0.066042
9,0.062704
10,0.061274
11,0.060797
12,0.060081
13,0.059843
14,0.059605
15,0.063181
16,0.062227
17,0.068903
18,0.064611
19,0.061989
20,0.06175
21,0.063658
22,0.061512
23,0.060797
24,0.061274
25,0.060081
26,0.059128
27,0.059843
28,0.058651
29,0.057697
30,0.059605
31,0.063181
32,0.061989
33,0.060558
34,0.058651
35,0.058651
36,0.063181
37,0.078201
38,0.060081
39,0.058889
40,0.060797
41,0.066042
42,0.040054
43,0.031471
44,0.030518
45,0.030041
46,0.028849
47,0.02861
48,0.028372
49,0.02861
