test#,time
0,1.15943
1,0.659943
2,0.683069
3,0.678539
4,0.666618
5,0.679016
6,0.633717
7,0.621557
8,0.61202
9,0.607729
10,0.65136
11,0.626326
12,0.611067
13,0.613928
14,0.603437
15,0.673532
16,0.66185
17,0.641584
18,0.739336
19,1.060486
20,0.880718
21,0.951052
22,1.026154
23,1.012564
24,0.953913
25,1.205921
26,1.054287
27,1.000881
28,0.975132
29,0.973225
30,1.300335
31,1.00112
32,0.734568
33,0.650406
34,0.615835
35,0.612974
36,0.608683
37,0.605106
38,0.605822
39,0.655651
40,0.622511
41,0.638485
42,0.639439
43,0.864744
44,0.778437
45,0.673294
46,0.685453
47,3.144503
48,0.74029
49,0.599146
