test#,time
0,1.271009
1,0.54574
2,0.43726
3,0.41008
4,0.347853
5,0.461817
6,0.358343
7,0.362873
8,0.298977
9,0.293732
10,0.305176
11,0.315905
12,0.365496
13,0.307322
14,0.296831
15,0.284672
16,0.28944
17,0.286341
18,0.286341
19,0.38147
20,0.33164
21,0.305414
22,0.26083
23,0.321865
24,0.277758
25,0.509977
26,0.263691
27,0.247717
28,0.255585
29,0.247717
30,0.255108
31,0.278234
32,0.240564
33,0.251532
34,0.243664
35,0.305891
36,0.272036
37,0.240326
38,0.281572
39,0.400305
40,0.4282
41,0.431776
42,0.315905
43,0.299692
44,0.295162
45,0.282764
46,0.261545
47,0.283718
48,0.280142
49,0.272274
